cycle_days,target_volatility,vol_window,stop_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.6,30,own75,1,20.0,10.406696813714214,0.6420348566706853,1.1543550543840175,-0.4909100358493004,26.98391123195292,0.6085865533168723,0.8469565217391304
14,0.8,30,none,1,2.0,13.709103859894398,0.7407005932672182,1.1185018943768998,-0.5194768108509057,34.50348955936228,0.8436881306389299,0.998840579710145
14,0.8,30,none,1,20.0,10.216405013806778,0.6356316395836232,1.0328271087455512,-0.5316837649572275,34.50348955936228,0.8436881306389299,0.998840579710145
14,0.8,30,own75,1,2.0,14.071712876816571,0.7503484022500042,1.1551472289347977,-0.5455450586664957,31.371937192768815,0.7097082071610734,0.8469565217391304
14,0.8,30,own75,1,20.0,10.770832792001222,0.6540348546071373,1.0718910257415477,-0.5641211314830817,31.371937192768815,0.7097082071610734,0.8469565217391304
14,0.3,30,none,2,2.0,7.812056674850581,0.545302663521535,1.4775716447137406,-0.27714209207287077,17.815175197814916,0.44912262208606535,0.9982608695652174
14,0.3,30,none,2,20.0,6.712364611300887,0.49645463830029546,1.380697535343038,-0.2805341985718789,17.815175197814916,0.44912262208606535,0.9982608695652174
14,0.3,30,own75,2,2.0,7.72263910442501,0.5415408703525351,1.5270033582161056,-0.24686847964568082,16.577936462054186,0.37274489624374596,0.8620289855072464
14,0.3,30,own75,2,20.0,6.705908720538217,0.4961498035385108,1.4325150916418379,-0.25954544893510034,16.577936462054186,0.37274489624374596,0.8620289855072464
14,0.4,30,none,2,2.0,10.537512218680341,0.6463833917040163,1.3768548459781134,-0.353318257886842,22.210167482004394,0.5557041512566497,0.9982608695652174
14,0.4,30,none,2,20.0,8.721176291268929,0.5817420932971165,1.283351589687567,-0.35697573162704144,22.210167482004394,0.5557041512566497,0.9982608695652174
14,0.4,30,own75,2,2.0,10.579586164151197,0.6477729582713454,1.424533826272319,-0.3373805983812277,20.776539181560977,0.4676719327243482,0.8620289855072464
14,0.4,30,own75,2,20.0,8.863751521529704,0.5871818565835296,1.3328896903138552,-0.35680688506594704,20.776539181560977,0.4676719327243482,0.8620289855072464
14,0.5,30,none,2,2.0,11.807907917596872,0.6865420544187202,1.2661861852747425,-0.42285133921025964,25.805645339777804,0.6438134550163604,0.9982608695652174
14,0.5,30,none,2,20.0,9.477470318048137,0.6098385782846758,1.1762204167917796,-0.4266711366376045,25.805645339777804,0.6438134550163604,0.9982608695652174
14,0.5,30,own75,2,2.0,12.304885372132123,0.7013273556804898,1.3199770204187107,-0.4162478665145375,24.22520416712208,0.5460531021939129,0.8620289855072464
14,0.5,30,own75,2,20.0,10.01050096770475,0.6285962875460509,1.2314370916286648,-0.4364471936149321,24.22520416712208,0.5460531021939129,0.8620289855072464
14,0.6,30,none,2,2.0,11.86363104901893,0.688223988845744,1.171386078509054,-0.4861838325801796,28.837258029735928,0.7194762449144387,0.9982608695652174
14,0.6,30,none,2,20.0,9.27906709952687,0.6026439576974327,1.0843728128517343,-0.49007884140399893,28.837258029735928,0.7194762449144387,0.9982608695652174
14,0.6,30,own75,2,2.0,13.143920582719709,0.7252538894177498,1.2372423197465467,-0.47406173578481337,27.07918901108171,0.6145523110978793,0.8620289855072464
